case_id,mode,runs,mean_affected_node_count,mean_rolled_back_effect_count,mean_preserved_node_count,mean_preserved_effect_count
M3-C01,ADAPTIVE_RUNTIME,5,1,1,1,1
M3-C01,BASELINE,5,2,2,0,0
M3-C01,FULL_GUARD,5,2,2,0,0
M3-C02,ADAPTIVE_RUNTIME,5,1,1,2,2
M3-C02,BASELINE,5,3,3,0,0
M3-C02,FULL_GUARD,5,3,3,0,0
M3-C03,ADAPTIVE_RUNTIME,5,1,1,0,0
M3-C03,BASELINE,5,1,0,0,0
M3-C03,FULL_GUARD,5,1,1,0,0
M3-C04,ADAPTIVE_RUNTIME,5,2,1,0,0
M3-C04,BASELINE,5,2,1,0,0
M3-C04,FULL_GUARD,5,2,1,0,0
M3-C05,ADAPTIVE_RUNTIME,5,1,1,0,0
M3-C05,BASELINE,5,1,1,0,0
M3-C05,FULL_GUARD,5,1,1,0,0
M3-C06,ADAPTIVE_RUNTIME,5,0,0,2,2
M3-C06,BASELINE,5,0,0,2,2
M3-C06,FULL_GUARD,5,0,0,2,2
M3-C07,ADAPTIVE_RUNTIME,5,1,1,1,1
M3-C07,BASELINE,5,2,2,0,0
M3-C07,FULL_GUARD,5,2,2,0,0
