case_id,mode,runs,ground_truth_pass_count,ground_truth_pass_rate_pct,rollback_applicable_runs,rollback_success_count,rollback_success_rate_pct,median_rollback_elapsed_ms,mean_residual_effect_count,max_residual_effect_count,total_rollback_count,total_selective_rollback_count,mean_affected_node_count,mean_rolled_back_effect_count,mean_preserved_node_count,mean_preserved_effect_count
M3-C01,ADAPTIVE_RUNTIME,5,5,100.0,5,5,100.0,30,0,0,5,5,1,1,1,1
M3-C01,BASELINE,5,5,100.0,5,5,100.0,67,0,0,10,5,2,2,0,0
M3-C01,FULL_GUARD,5,5,100.0,5,5,100.0,66,0,0,10,5,2,2,0,0
M3-C02,ADAPTIVE_RUNTIME,5,5,100.0,5,5,100.0,21,0,0,5,5,1,1,2,2
M3-C02,BASELINE,5,5,100.0,5,5,100.0,57,0,0,15,5,3,3,0,0
M3-C02,FULL_GUARD,5,5,100.0,5,5,100.0,53,0,0,15,5,3,3,0,0
M3-C03,ADAPTIVE_RUNTIME,5,5,100.0,5,5,100.0,21,0,0,5,0,1,1,0,0
M3-C03,BASELINE,5,0,0.0,0,0,,,1,1,0,0,1,0,0,0
M3-C03,FULL_GUARD,5,5,100.0,5,5,100.0,21,0,0,5,0,1,1,0,0
M3-C04,ADAPTIVE_RUNTIME,5,5,100.0,5,5,100.0,49,1,1,10,5,2,1,0,0
M3-C04,BASELINE,5,5,100.0,5,5,100.0,60,1,1,10,5,2,1,0,0
M3-C04,FULL_GUARD,5,5,100.0,5,5,100.0,47,1,1,10,5,2,1,0,0
M3-C05,ADAPTIVE_RUNTIME,5,5,100.0,5,5,100.0,36,0,0,5,10,1,1,0,0
M3-C05,BASELINE,5,5,100.0,5,5,100.0,35,0,0,5,10,1,1,0,0
M3-C05,FULL_GUARD,5,5,100.0,5,5,100.0,37,0,0,5,10,1,1,0,0
M3-C06,ADAPTIVE_RUNTIME,5,5,100.0,5,5,100.0,6,0,0,0,5,0,0,2,2
M3-C06,BASELINE,5,5,100.0,5,5,100.0,5,0,0,0,5,0,0,2,2
M3-C06,FULL_GUARD,5,5,100.0,5,5,100.0,6,0,0,0,5,0,0,2,2
M3-C07,ADAPTIVE_RUNTIME,5,5,100.0,5,5,100.0,22,0,0,5,5,1,1,1,1
M3-C07,BASELINE,5,5,100.0,5,5,100.0,38,0,0,10,5,2,2,0,0
M3-C07,FULL_GUARD,5,5,100.0,5,5,100.0,40,0,0,10,5,2,2,0,0
