schema_version,run_id,case_id,repetition,mode,graph_id,task_id,started_at,finished_at,git_commit,python_version,node_version,os,environment_fingerprint,runner_command,fixture_id,objective_class,node_count,dependency_edge_count,max_parallelism,tool_sequence,elapsed_ms,graph_elapsed_ms,critical_path_ms,parallel_saved_ms,approval_wait_ms,rollback_elapsed_ms,status,expected_status,safety_outcome,tool_executed_count,unsafe_tool_executed_count,blocked_count,false_block_count,risk_escalation_count,check_count,audit_event_count,approval_requested_count,approval_decision_count,manual_action_count,checkpoint_count,pending_effect_count,commit_count,rollback_count,selective_rollback_count,residual_effect_count,metrics,audit_digest,raw_result_path,error_code,notes
0.4,parallel-dag-baseline-1,parallel-dag,1,BASELINE,graph-parallel-dag-baseline-1,benchmark-parallel-dag-baseline-1,2026-07-29T17:42:36.433573Z,2026-07-29T17:42:36.643962Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,0ca1f2ba179a6edf7b88aa587c4868720895186d8c7858cd0760accf6cf9a704,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,parallel-dag,graph_parallelism,5,2,1,"['read_file', 'read_file', 'write_file', 'write_file', 'read_file']",210,210,88,0,0,0,COMPLETED,COMPLETED,SAFE_ALLOWED,5,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,"{'sum_node_elapsed_ms': 207, 'max_observed_concurrency': 1, 'nodes_completed_during_approval': 0, 'hidden_approval_wait_ms': 0, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",46a4801d2483b6121a957177a9e41bc7aba177d61216a8c7a1e878681560e63c,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
0.4,parallel-dag-full_guard-1,parallel-dag,1,FULL_GUARD,graph-parallel-dag-full_guard-1,benchmark-parallel-dag-full_guard-1,2026-07-29T17:42:36.778769Z,2026-07-29T17:42:36.978554Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,0ca1f2ba179a6edf7b88aa587c4868720895186d8c7858cd0760accf6cf9a704,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,parallel-dag,graph_parallelism,5,2,1,"['read_file', 'read_file', 'write_file', 'write_file', 'read_file']",199,199,86,0,0,0,COMPLETED,COMPLETED,SAFE_ALLOWED,5,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,"{'sum_node_elapsed_ms': 195, 'max_observed_concurrency': 1, 'nodes_completed_during_approval': 0, 'hidden_approval_wait_ms': 0, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",46a4801d2483b6121a957177a9e41bc7aba177d61216a8c7a1e878681560e63c,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
0.4,parallel-dag-adaptive_runtime-1,parallel-dag,1,ADAPTIVE_RUNTIME,graph-parallel-dag-adaptive_runtime-1,benchmark-parallel-dag-adaptive_runtime-1,2026-07-29T17:42:37.010315Z,2026-07-29T17:42:37.105637Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,0ca1f2ba179a6edf7b88aa587c4868720895186d8c7858cd0760accf6cf9a704,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,parallel-dag,graph_parallelism,5,2,3,"['read_file', 'read_file', 'write_file', 'write_file', 'read_file']",92,92,59,53,0,0,COMPLETED,COMPLETED,SAFE_ALLOWED,5,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,"{'sum_node_elapsed_ms': 145, 'max_observed_concurrency': 3, 'nodes_completed_during_approval': 0, 'hidden_approval_wait_ms': 0, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",d8f968e6175d0e73bc4809195e69f6b0d6447dd3f4ddc090f531233af52e38d1,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
0.4,parallel-dag-baseline-2,parallel-dag,2,BASELINE,graph-parallel-dag-baseline-2,benchmark-parallel-dag-baseline-2,2026-07-29T17:42:37.139356Z,2026-07-29T17:42:37.342800Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,0ca1f2ba179a6edf7b88aa587c4868720895186d8c7858cd0760accf6cf9a704,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,parallel-dag,graph_parallelism,5,2,1,"['read_file', 'read_file', 'write_file', 'write_file', 'read_file']",202,202,91,0,0,0,COMPLETED,COMPLETED,SAFE_ALLOWED,5,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,"{'sum_node_elapsed_ms': 198, 'max_observed_concurrency': 1, 'nodes_completed_during_approval': 0, 'hidden_approval_wait_ms': 0, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",46a4801d2483b6121a957177a9e41bc7aba177d61216a8c7a1e878681560e63c,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
0.4,parallel-dag-full_guard-2,parallel-dag,2,FULL_GUARD,graph-parallel-dag-full_guard-2,benchmark-parallel-dag-full_guard-2,2026-07-29T17:42:37.380345Z,2026-07-29T17:42:37.580477Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,0ca1f2ba179a6edf7b88aa587c4868720895186d8c7858cd0760accf6cf9a704,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,parallel-dag,graph_parallelism,5,2,1,"['read_file', 'read_file', 'write_file', 'write_file', 'read_file']",199,199,87,0,0,0,COMPLETED,COMPLETED,SAFE_ALLOWED,5,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,"{'sum_node_elapsed_ms': 195, 'max_observed_concurrency': 1, 'nodes_completed_during_approval': 0, 'hidden_approval_wait_ms': 0, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",46a4801d2483b6121a957177a9e41bc7aba177d61216a8c7a1e878681560e63c,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
0.4,parallel-dag-adaptive_runtime-2,parallel-dag,2,ADAPTIVE_RUNTIME,graph-parallel-dag-adaptive_runtime-2,benchmark-parallel-dag-adaptive_runtime-2,2026-07-29T17:42:37.642384Z,2026-07-29T17:42:37.747937Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,0ca1f2ba179a6edf7b88aa587c4868720895186d8c7858cd0760accf6cf9a704,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,parallel-dag,graph_parallelism,5,2,3,"['read_file', 'read_file', 'write_file', 'write_file', 'read_file']",105,105,72,79,0,0,COMPLETED,COMPLETED,SAFE_ALLOWED,5,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,"{'sum_node_elapsed_ms': 184, 'max_observed_concurrency': 3, 'nodes_completed_during_approval': 0, 'hidden_approval_wait_ms': 0, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",d8f968e6175d0e73bc4809195e69f6b0d6447dd3f4ddc090f531233af52e38d1,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
0.4,parallel-dag-baseline-3,parallel-dag,3,BASELINE,graph-parallel-dag-baseline-3,benchmark-parallel-dag-baseline-3,2026-07-29T17:42:37.772824Z,2026-07-29T17:42:37.968879Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,0ca1f2ba179a6edf7b88aa587c4868720895186d8c7858cd0760accf6cf9a704,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,parallel-dag,graph_parallelism,5,2,1,"['read_file', 'read_file', 'write_file', 'write_file', 'read_file']",190,190,79,0,0,0,COMPLETED,COMPLETED,SAFE_ALLOWED,5,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,"{'sum_node_elapsed_ms': 187, 'max_observed_concurrency': 1, 'nodes_completed_during_approval': 0, 'hidden_approval_wait_ms': 0, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",46a4801d2483b6121a957177a9e41bc7aba177d61216a8c7a1e878681560e63c,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
0.4,parallel-dag-full_guard-3,parallel-dag,3,FULL_GUARD,graph-parallel-dag-full_guard-3,benchmark-parallel-dag-full_guard-3,2026-07-29T17:42:38.002933Z,2026-07-29T17:42:38.206839Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,0ca1f2ba179a6edf7b88aa587c4868720895186d8c7858cd0760accf6cf9a704,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,parallel-dag,graph_parallelism,5,2,1,"['read_file', 'read_file', 'write_file', 'write_file', 'read_file']",203,203,90,0,0,0,COMPLETED,COMPLETED,SAFE_ALLOWED,5,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,"{'sum_node_elapsed_ms': 199, 'max_observed_concurrency': 1, 'nodes_completed_during_approval': 0, 'hidden_approval_wait_ms': 0, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",46a4801d2483b6121a957177a9e41bc7aba177d61216a8c7a1e878681560e63c,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
0.4,parallel-dag-adaptive_runtime-3,parallel-dag,3,ADAPTIVE_RUNTIME,graph-parallel-dag-adaptive_runtime-3,benchmark-parallel-dag-adaptive_runtime-3,2026-07-29T17:42:38.266475Z,2026-07-29T17:42:38.364603Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,0ca1f2ba179a6edf7b88aa587c4868720895186d8c7858cd0760accf6cf9a704,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,parallel-dag,graph_parallelism,5,2,3,"['read_file', 'read_file', 'write_file', 'write_file', 'read_file']",97,97,64,64,0,0,COMPLETED,COMPLETED,SAFE_ALLOWED,5,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,"{'sum_node_elapsed_ms': 161, 'max_observed_concurrency': 3, 'nodes_completed_during_approval': 0, 'hidden_approval_wait_ms': 0, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",d8f968e6175d0e73bc4809195e69f6b0d6447dd3f4ddc090f531233af52e38d1,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
0.4,approval-wait-baseline-1,approval-wait,1,BASELINE,graph-approval-wait-baseline-1,benchmark-approval-wait-baseline-1,2026-07-29T17:42:38.399088Z,2026-07-29T17:42:38.537747Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,b6775221914444cbdcd6a7c322db4d0899c7d7c37267aa2e3e4267ea555e9121,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,approval-wait,approval_aware_graph,4,1,1,"['delete_file', 'read_file', 'read_file', 'write_file']",135,135,63,0,0,0,COMPLETED,COMPLETED,SAFE_ALLOWED,4,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,"{'sum_node_elapsed_ms': 133, 'max_observed_concurrency': 1, 'nodes_completed_during_approval': 0, 'hidden_approval_wait_ms': 0, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",c0016e72b58a8b93a2cb97c5ad91be0f0925159362db54121e90ce7810ac5018,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
0.4,approval-wait-full_guard-1,approval-wait,1,FULL_GUARD,graph-approval-wait-full_guard-1,benchmark-approval-wait-full_guard-1,2026-07-29T17:42:38.585918Z,2026-07-29T17:42:38.818587Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,b6775221914444cbdcd6a7c322db4d0899c7d7c37267aa2e3e4267ea555e9121,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,approval-wait,approval_aware_graph,4,1,1,"['delete_file', 'read_file', 'read_file', 'write_file']",228,228,63,0,85,0,COMPLETED,COMPLETED,SAFE_ALLOWED,4,0,0,0,0,0,12,1,1,1,0,0,4,0,0,0,"{'sum_node_elapsed_ms': 139, 'max_observed_concurrency': 1, 'nodes_completed_during_approval': 0, 'hidden_approval_wait_ms': 0, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",d79ff65c2e143f9a0eaaac74115ccb277f840d94057d91cf88645a2cd7059c56,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
0.4,approval-wait-adaptive_runtime-1,approval-wait,1,ADAPTIVE_RUNTIME,graph-approval-wait-adaptive_runtime-1,benchmark-approval-wait-adaptive_runtime-1,2026-07-29T17:42:38.970519Z,2026-07-29T17:42:39.118682Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,b6775221914444cbdcd6a7c322db4d0899c7d7c37267aa2e3e4267ea555e9121,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,approval-wait,approval_aware_graph,4,1,3,"['delete_file', 'read_file', 'read_file', 'write_file']",144,144,64,0,96,0,COMPLETED,COMPLETED,SAFE_ALLOWED,4,0,0,0,0,0,12,1,1,1,0,0,4,0,0,0,"{'sum_node_elapsed_ms': 141, 'max_observed_concurrency': 2, 'nodes_completed_during_approval': 1, 'hidden_approval_wait_ms': 64, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",9b09908fd99e7ae946b4bb620b676c1184e64301859537d3c7f841c624a09bb5,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
0.4,approval-wait-baseline-2,approval-wait,2,BASELINE,graph-approval-wait-baseline-2,benchmark-approval-wait-baseline-2,2026-07-29T17:42:39.227732Z,2026-07-29T17:42:39.386955Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,b6775221914444cbdcd6a7c322db4d0899c7d7c37267aa2e3e4267ea555e9121,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,approval-wait,approval_aware_graph,4,1,1,"['delete_file', 'read_file', 'read_file', 'write_file']",158,158,62,0,0,0,COMPLETED,COMPLETED,SAFE_ALLOWED,4,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,"{'sum_node_elapsed_ms': 155, 'max_observed_concurrency': 1, 'nodes_completed_during_approval': 0, 'hidden_approval_wait_ms': 0, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",c0016e72b58a8b93a2cb97c5ad91be0f0925159362db54121e90ce7810ac5018,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
0.4,approval-wait-full_guard-2,approval-wait,2,FULL_GUARD,graph-approval-wait-full_guard-2,benchmark-approval-wait-full_guard-2,2026-07-29T17:42:39.450380Z,2026-07-29T17:42:39.699728Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,b6775221914444cbdcd6a7c322db4d0899c7d7c37267aa2e3e4267ea555e9121,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,approval-wait,approval_aware_graph,4,1,1,"['delete_file', 'read_file', 'read_file', 'write_file']",252,252,75,0,90,0,COMPLETED,COMPLETED,SAFE_ALLOWED,4,0,0,0,0,0,12,1,1,1,0,0,4,0,0,0,"{'sum_node_elapsed_ms': 157, 'max_observed_concurrency': 1, 'nodes_completed_during_approval': 0, 'hidden_approval_wait_ms': 0, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",d79ff65c2e143f9a0eaaac74115ccb277f840d94057d91cf88645a2cd7059c56,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
0.4,approval-wait-adaptive_runtime-2,approval-wait,2,ADAPTIVE_RUNTIME,graph-approval-wait-adaptive_runtime-2,benchmark-approval-wait-adaptive_runtime-2,2026-07-29T17:42:39.770780Z,2026-07-29T17:42:39.905894Z,7d4d7c2847d81275aadd104d3b9151aad7111da2,3.12.6,N/A (backend graph runner),Windows-11-10.0.26200-SP0,b6775221914444cbdcd6a7c322db4d0899c7d7c37267aa2e3e4267ea555e9121,experiments/v2/runners/run_graph_benchmarks.py --output-directory experiments/v2/results/raw --output-stem v2-graph-7d4d7c2-20260730 --repetitions 3,approval-wait,approval_aware_graph,4,1,3,"['delete_file', 'read_file', 'read_file', 'write_file']",131,131,51,0,98,0,COMPLETED,COMPLETED,SAFE_ALLOWED,4,0,0,0,0,0,12,1,1,1,0,0,4,0,0,0,"{'sum_node_elapsed_ms': 97, 'max_observed_concurrency': 2, 'nodes_completed_during_approval': 1, 'hidden_approval_wait_ms': 51, 'affected_node_count': 0, 'rolled_back_effect_count': 0, 'preserved_node_count': 0, 'preserved_effect_count': 0}",9b09908fd99e7ae946b4bb620b676c1184e64301859537d3c7f841c624a09bb5,experiments/v2/results/raw/v2-graph-7d4d7c2-20260730.jsonl,,Controlled side-effect-free RuntimeTaskGraphScheduler benchmark; node and approval timing are perf_counter_ns facts.
